Season,Team,Squad Cost Limit
14/15,FC Barcelona,347.9
15/16,FC Barcelona,421.68
16/17,FC Barcelona,390.7
17/18,FC Barcelona,507.23
18/19,FC Barcelona,632.9
19/20,FC Barcelona,671.4
20/21 (Sep),FC Barcelona,382.71
20/21 (Feb),FC Barcelona,347.07
21/22 (Sep),FC Barcelona,97.94
21/22 (Feb),FC Barcelona,-144.35
22/23 (Sep),FC Barcelona,656.42
22/23 (Feb),FC Barcelona,648.82
23/24 (Sep),FC Barcelona,270.03
23/24 (Feb),FC Barcelona,204.16
24/25 (Sep),FC Barcelona,426.42
24/25 (Feb),FC Barcelona,463.64
25/26 (Sep),FC Barcelona,351.28
19/20,Real Madrid,641.04
20/21 (Sep),Real Madrid,468.52
20/21 (Feb),Real Madrid,473.34
21/22 (Sep),Real Madrid,739.16
21/22 (Feb),Real Madrid,739.16
22/23 (Sep),Real Madrid,683.46
22/23 (Feb),Real Madrid,683.46
23/24 (Sep),Real Madrid,727.45
23/24 (Feb),Real Madrid,727.45
24/25 (Sep),Real Madrid,754.89
24/25 (Feb),Real Madrid,754.89
25/26 (Sep),Real Madrid,761.23
