,Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
0,2025-2026,Barcelona,1. Champions Lg,Lg,2.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,50207.0,Marcus Rashford - 2,"Wojciech Szczęsny, Joan García",
1,2024-2025,Barcelona,1. Champions Lg,SF,14.0,9.0,2.0,3.0,43.0,24.0,19.0,29.0,47377.0,Raphinha - 13,Wojciech Szczęsny,
2,2023-2024,Barcelona,1. Champions Lg,QF,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,45308.0,"Raphinha, Robert Lewandowski... - 3",Marc-André ter Stegen,
3,2022-2023,Barcelona,2. Europa Lg,KO,2.0,0.0,1.0,1.0,3.0,4.0,-1.0,1.0,90225.0,"Marcos Alonso, Robert Lewandowski... - 1",Marc-André ter Stegen,
4,2022-2023,Barcelona,1. Champions Lg,GR,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,84576.0,Robert Lewandowski - 5,Marc-André ter Stegen,
5,2021-2022,Barcelona,2. Europa Lg,QF,6.0,2.0,3.0,1.0,10.0,8.0,2.0,9.0,71578.0,"Ferrán Torres, Pierre-Emerick Aubameyang - 2",Marc-André ter Stegen,
6,2021-2022,Barcelona,1. Champions Lg,GR,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,45092.0,"Gerard Piqué, Ansu Fati - 1",Marc-André ter Stegen,
7,2020-2021,Barcelona,1. Champions Lg,R16,8.0,5.0,1.0,2.0,18.0,10.0,8.0,16.0,,Lionel Messi - 5,Marc-André ter Stegen,
8,2019-2020,Barcelona,1. Champions Lg,QF,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,48647.0,Luis Suárez - 5,Marc-André ter Stegen,
9,2018-2019,Barcelona,1. Champions Lg,SF,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86178.0,Lionel Messi - 12,Marc-André ter Stegen,
10,2017-2018,Barcelona,1. Champions Lg,QF,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73861.0,Lionel Messi - 6,Marc-André ter Stegen,
11,2016-2017,Barcelona,1. Champions Lg,QF,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85863.0,Lionel Messi - 11,Marc-André ter Stegen,
12,2015-2016,Barcelona,1. Champions Lg,QF,10.0,7.0,2.0,1.0,22.0,8.0,14.0,23.0,74651.0,Luis Suárez - 8,Marc-André ter Stegen,
13,2014-2015,Barcelona,1. Champions Lg,W,13.0,11.0,0.0,2.0,31.0,11.0,20.0,33.0,82904.0,"Lionel Messi, Neymar - 10",Marc-André ter Stegen,→ Champions League via playoff win
14,2013-2014,Barcelona,1. Champions Lg,QF,10.0,5.0,3.0,2.0,21.0,8.0,13.0,18.0,,Lionel Messi - 8,Víctor Valdés,
15,2012-2013,Barcelona,1. Champions Lg,SF,12.0,4.0,5.0,3.0,18.0,17.0,1.0,17.0,,Lionel Messi - 8,Víctor Valdés,
16,2011-2012,Barcelona,1. Champions Lg,SF,12.0,6.0,5.0,1.0,35.0,10.0,25.0,23.0,,Lionel Messi - 14,Víctor Valdés,
17,2010-2011,Barcelona,1. Champions Lg,W,13.0,8.0,4.0,1.0,30.0,9.0,21.0,28.0,,Lionel Messi - 12,Víctor Valdés,→ Champions League via playoff win
18,2009-2010,Barcelona,1. Champions Lg,SF,12.0,3.0,7.0,2.0,20.0,10.0,10.0,16.0,,Lionel Messi - 8,Víctor Valdés,
19,2008-2009,Barcelona,1. Champions Lg,W,15.0,8.0,6.0,2.0,36.0,14.0,22.0,30.0,,Lionel Messi - 9,Víctor Valdés,
20,2007-2008,Barcelona,1. Champions Lg,SF,12.0,8.0,3.0,1.0,18.0,6.0,12.0,27.0,,Lionel Messi - 6,Víctor Valdés,
21,2006-2007,Barcelona,1. Champions Lg,R16,8.0,4.0,2.0,2.0,14.0,6.0,8.0,14.0,,Eiður Guðjohnsen - 3,Víctor Valdés,
22,2005-2006,Barcelona,1. Champions Lg,W,13.0,9.0,5.0,0.0,24.0,5.0,19.0,32.0,,Ronaldinho - 7,Víctor Valdés,
23,2004-2005,Barcelona,1. Champions Lg,R16,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,,"Samuel Eto'o, Ronaldinho - 4",Víctor Valdés,
24,2003-2004,Barcelona,2. UEFA Cup,Rd4,8.0,5.0,2.0,1.0,17.0,3.0,14.0,17.0,,Ronaldinho - 4,Víctor Valdés,
25,2002-2003,Barcelona,1. Champions Lg,QF,16.0,13.0,2.0,1.0,31.0,9.0,22.0,41.0,,Javier Saviola - 7,Roberto Bonano,
26,2001-2002,Barcelona,1. Champions Lg,SF,18.0,10.0,4.0,4.0,28.0,20.0,8.0,34.0,,Patrick Kluivert - 6,Roberto Bonano,
27,2000-2001,Barcelona,2. UEFA Cup,SF,8.0,4.0,2.0,2.0,13.0,6.0,7.0,14.0,,Rivaldo - 5,Pepe Reina,
28,2000-2001,Barcelona,1. Champions Lg,GR1,6.0,2.0,2.0,2.0,13.0,9.0,4.0,8.0,,Rivaldo - 6,Richard Dutruel,
29,1999-2000,Barcelona,1. Champions Lg,SF,16.0,11.0,3.0,2.0,45.0,23.0,22.0,36.0,,Rivaldo - 10,Ruud Hesp,
30,1998-1999,Barcelona,1. Champions Lg,GR,6.0,2.0,2.0,2.0,11.0,9.0,2.0,8.0,,Sonny Anderson - 4,,
31,1997-1998,Barcelona,1. Champions Lg,GR,8.0,3.0,2.0,3.0,11.0,16.0,-5.0,11.0,,Luis Enrique - 3,,
32,,,,,,,,,,,,,,,,
33,1995-1996,Barcelona,3. UEFA Cup,SF,10.0,6.0,3.0,1.0,31.0,10.0,21.0,21.0,,Roger - 4,Carles Busquets,
34,1994-1995,Barcelona,1. Champions Lg,QF,8.0,2.0,3.0,3.0,13.0,11.0,2.0,7.0,,"Hristo Stoichkov, José Mari Bakero... - 3",,
35,1993-1994,Barcelona,1. Champions Lg,F,12.0,8.0,2.0,2.0,26.0,12.0,14.0,18.0,,Ronald Koeman - 8,,
36,1992-1993,Barcelona,1. Champions Lg,R16,4.0,1.0,2.0,1.0,4.0,4.0,0.0,4.0,,Txiki Begiristain - 2,,
37,1991-1992,Barcelona,1. European Cup,W,11.0,7.0,1.0,3.0,17.0,8.0,9.0,15.0,,Hristo Stoichkov - 4,,
