Season,Ball Situation,Total Shots,GF ,GA,xG,xGA
14/15,Open play,487,88,14,89.02,20.45
14/15,Corner kick,71,8,2,6.69,3.61
14/15,Free kick,43,3,0,3.07,1.22
14/15,Set piece,19,5,1,2.62,1.58
15/16,Open play,454,84,25,88.79,29.41
15/16,Corner kick,56,9,3,8.75,3.98
15/16,Free kick,55,5,0,3.67,0.84
15/16,Set piece,24,3,0,4.12,1.33
16/17,Open play,493,90,25,75.63,27.46
16/17,Corner kick,72,11,6,7.36,3.96
16/17,Free kick,55,4,3,3.93,1.18
16/17,Set piece,22,3,3,3.51,1.22
17/18,Open play,437,80,26,78.96,34.61
17/18,Corner kick,67,8,1,6.82,4.39
17/18,Free kick,60,6,0,3.97,0.9
17/18,Set piece,14,2,0,2.09,0.66
18/19,Open play,436,67,31,67.08,37.67
18/19,Corner kick,53,6,2,5.87,3.8
18/19,Free kick,50,6,0,3.4,1.27
18/19,Set piece,16,3,1,3.04,2.27
19/20,Open play,384,67,26,60.42,25.6
19/20,Corner kick,46,4,1,4.84,2.48
19/20,Free kick,46,5,2,3.01,1.15
19/20,Set piece,14,4,3,2.34,3.61
20/21,Open play,455,71,26,70.13,32.12
20/21,Corner kick,59,4,5,7.38,5.21
20/21,Free kick,43,3,1,3.25,0.88
20/21,Set piece,22,3,1,5.18,1.2
21/22,Open play,414,55,25,56.31,26.19
21/22,Corner kick,61,5,7,6.13,4.09
21/22,Free kick,21,2,3,1.94,2.51
21/22,Set piece,15,0,1,1.2,0.89
22/23,Open play,442,63,15,69.21,29.72
22/23,Corner kick,90,5,2,10.59,2.93
22/23,Free kick,20,0,0,1.42,0.39
22/23,Set piece,20,2,0,2.29,1.21
23/24,Open play,441,61,38,67.68,36.75
23/24,Corner kick,106,9,1,8.75,4.65
23/24,Free kick,21,2,0,1.32,0.45
23/24,Set piece,20,1,3,2.9,2.66
24/25,Open play,518,80,32,81.01,32.95
24/25,Corner kick,105,9,3,10.01,3.12
24/25,Free kick,27,1,0,1.88,0.35
24/25,Set piece,22,5,0,4.68,3.77
